date,nav_regular_growth,nav_direct_growth
2021-07-16,9.9873,9.9873
2021-07-19,9.8801,9.8803
2021-07-20,9.8051,9.8053
2021-07-22,9.9258,9.9264
2021-07-23,9.9486,9.9492
2021-07-26,9.9286,9.9294
2021-07-27,9.8809,9.8817
2021-07-28,9.8608,9.8617
2021-07-29,9.9057,9.9067
2021-07-30,9.8959,9.8969
2021-08-02,9.9726,9.9737
2021-08-03,10.1261,10.1273
2021-08-04,10.2058,10.2071
2021-08-05,10.2296,10.2310
2021-08-06,10.1942,10.1956
2021-08-09,10.2052,10.2067
2021-08-10,10.2186,10.2202
2021-08-11,10.2200,10.2217
2021-08-12,10.2732,10.2749
2021-08-13,10.3764,10.3782
2021-08-16,10.3973,10.3993
2021-08-17,10.4301,10.4321
2021-08-18,10.4015,10.4036
2021-08-20,10.3270,10.3292
2021-08-23,10.3557,10.3581
2021-08-24,10.4354,10.4378
2021-08-25,10.4415,10.4440
2021-08-26,10.4427,10.4453
2021-08-27,10.4854,10.4881
2021-08-30,10.6320,10.6349
2021-08-31,10.7694,10.7724
2021-09-01,10.7340,10.7370
2021-09-02,10.8339,10.8370
2021-09-03,10.8893,10.8924
2021-09-06,10.9222,10.9256
2021-09-07,10.9122,10.9157
2021-09-08,10.9112,10.9147
2021-09-09,10.9210,10.9245
2021-09-13,10.9117,10.9155
2021-09-14,10.9271,10.9309
2021-09-15,11.0145,11.0184
2021-09-16,11.0834,11.0874
2021-09-17,11.0554,11.0595
2021-09-20,10.9373,10.9415
2021-09-21,11.0407,11.0450
2021-09-22,11.0310,11.0354
2021-09-23,11.2038,11.2083
2021-09-24,11.2226,11.2271
2021-09-27,11.2234,11.2281
2021-09-28,11.1557,11.1605
2021-09-29,11.1321,11.1369
2021-09-30,11.0734,11.0783
2021-10-01,11.0189,11.0238
2021-10-04,11.1185,11.1237
2021-10-05,11.2022,11.2074
2021-10-06,11.0914,11.0966
2021-10-07,11.1818,11.1871
2021-10-08,11.2474,11.2528
2021-10-11,11.2789,11.2845
2021-10-12,11.3076,11.3133
2021-10-13,11.4142,11.4199
2021-10-14,11.5261,11.5319
2021-10-18,11.6125,11.6187
2021-10-19,11.5758,11.5821
2021-10-20,11.4804,11.4866
2021-10-21,11.4262,11.4324
2021-10-22,11.3863,11.3926
2021-10-25,11.3926,11.3991
2021-10-26,11.4929,11.4995
2021-10-27,11.4566,11.4633
2021-10-28,11.2345,11.2411
2021-10-29,11.1177,11.1243
2021-11-01,11.2791,11.2860
2021-11-02,11.2546,11.2615
2021-11-03,11.2169,11.2239
2021-11-08,11.3666,11.3740
2021-11-09,11.3512,11.3586
2021-11-10,11.3340,11.3415
2021-11-11,11.2460,11.2535
2021-11-12,11.3901,11.3978
2021-11-15,11.3940,11.4018
2021-11-16,11.3246,11.3324
2021-11-17,11.2612,11.2690
2021-11-18,11.1769,11.1847
2021-11-22,10.9602,10.9681
2021-11-23,11.0146,11.0227
2021-11-24,10.9590,10.9671
2021-11-25,11.0351,11.0433
2021-11-26,10.7141,10.7221
2021-11-29,10.7310,10.7392
2021-11-30,10.6864,10.6947
2021-12-01,10.8017,10.8101
2021-12-02,10.9492,10.9578
2021-12-03,10.8201,10.8286
2021-12-06,10.6410,10.6496
2021-12-07,10.8071,10.8158
2021-12-08,10.9913,11.0002
2021-12-09,11.0208,11.0298
2021-12-10,11.0172,11.0263
2021-12-13,10.9269,10.9361
2021-12-14,10.8995,10.9087
2021-12-15,10.8338,10.8431
2021-12-16,10.8506,10.8599
2021-12-17,10.6849,10.6942
2021-12-20,10.4513,10.4605
2021-12-21,10.5496,10.5590
2021-12-22,10.6691,10.6787
2021-12-23,10.7427,10.7524
2021-12-24,10.6993,10.7090
2021-12-27,10.7509,10.7609
2021-12-28,10.8432,10.8533
2021-12-29,10.8307,10.8408
2021-12-30,10.8244,10.8346
2021-12-31,10.9187,10.9290
2022-01-03,11.0892,11.0998
2022-01-04,11.2020,11.2128
2022-01-05,11.2768,11.2878
2022-01-06,11.1639,11.1748
2022-01-07,11.2058,11.2168
2022-01-10,11.3254,11.3367
2022-01-11,11.3582,11.3697
2022-01-12,11.4566,11.4682
2022-01-13,11.4851,11.4967
2022-01-14,11.4837,11.4954
2022-01-17,11.5164,11.5283
2022-01-18,11.3936,11.4055
2022-01-19,11.2847,11.2966
2022-01-20,11.1721,11.1839
2022-01-21,11.0843,11.0960
2022-01-24,10.7897,10.8013
2022-01-25,10.8704,10.8822
2022-01-27,10.7646,10.7763
2022-01-28,10.7593,10.7711
2022-01-31,10.9087,10.9209
2022-02-01,11.0577,11.0701
2022-02-02,11.1854,11.1980
2022-02-03,11.0497,11.0623
2022-02-04,11.0220,11.0346
2022-02-07,10.8311,10.8437
2022-02-08,10.8645,10.8772
2022-02-09,10.9909,11.0038
2022-02-10,11.0809,11.0939
2022-02-11,10.9355,10.9484
2022-02-14,10.6068,10.6195
2022-02-15,10.9275,10.9407
2022-02-16,10.9111,10.9243
2022-02-17,10.8999,10.9132
2022-02-18,10.8820,10.8953
2022-02-21,10.8415,10.8549
2022-02-22,10.7692,10.7826
2022-02-23,10.7508,10.7643
2022-02-24,10.2378,10.2506
2022-02-25,10.4958,10.5091
2022-02-28,10.5807,10.5943
2022-03-02,10.4611,10.4746
2022-03-03,10.3926,10.4061
2022-03-04,10.2331,10.2464
2022-03-07,9.9910,10.0041
2022-03-08,10.0855,10.0988
2022-03-09,10.2946,10.3082
2022-03-10,10.4512,10.4651
2022-03-11,10.4797,10.4937
2022-03-14,10.6251,10.6394
2022-03-15,10.4935,10.5078
2022-03-16,10.6900,10.7046
2022-03-17,10.8859,10.9008
2022-03-21,10.7786,10.7936
2022-03-22,10.9031,10.9184
2022-03-23,10.8590,10.8743
2022-03-24,10.8445,10.8598
2022-03-25,10.8009,10.8162
2022-03-28,10.8440,10.8595
2022-03-29,10.9090,10.9247
2022-03-30,11.0177,11.0336
2022-03-31,10.9979,11.0139
2022-04-01,11.1273,11.1434
2022-04-04,11.3678,11.3846
2022-04-05,11.3084,11.3250
2022-04-06,11.2140,11.2306
2022-04-07,11.1080,11.1245
2022-04-08,11.1990,11.2157
2022-04-11,11.1298,11.1466
2022-04-12,11.0386,11.0553
2022-04-13,11.0039,11.0206
2022-04-18,10.8131,10.8298
2022-04-19,10.6779,10.6944
2022-04-20,10.7896,10.8064
2022-04-21,10.9511,10.9682
2022-04-22,10.8121,10.8290
2022-04-25,10.6744,10.6913
2022-04-26,10.8296,10.8469
2022-04-27,10.7274,10.7446
2022-04-28,10.8601,10.8776
2022-04-29,10.7703,10.7877
2022-05-02,10.7489,10.7664
2022-05-04,10.5019,10.5191
2022-05-05,10.5049,10.5221
2022-05-06,10.3335,10.3506
2022-05-09,10.2639,10.2810
2022-05-10,10.2248,10.2419
2022-05-11,10.1786,10.1957
2022-05-12,9.9618,9.9785
2022-05-13,9.9453,9.9621
2022-05-16,9.9827,9.9998
2022-05-17,10.2452,10.2627
2022-05-18,10.2329,10.2505
2022-05-19,9.9605,9.9777
2022-05-20,10.2479,10.2656
2022-05-23,10.2152,10.2329
2022-05-24,10.1587,10.1764
2022-05-25,10.1032,10.1208
2022-05-26,10.2019,10.2197
2022-05-27,10.3164,10.3346
2022-05-30,10.5105,10.5291
2022-05-31,10.4785,10.4971
2022-06-01,10.4394,10.4580
2022-06-02,10.5055,10.5243
2022-06-03,10.4779,10.4967
2022-06-06,10.4683,10.4873
2022-06-07,10.3718,10.3907
2022-06-08,10.3339,10.3527
2022-06-09,10.4120,10.4310
