date,nav_regular_growth,nav_direct_growth
2013-05-28,9.9991,9.9992
2013-05-29,10.0077,10.008
2013-05-30,10.0323,10.0327
2013-05-31,10.0148,10.0154
2013-06-03,10.0562,10.0572
2013-06-04,10.0328,10.0339
2013-06-05,10.0261,10.0273
2013-06-06,10.0315,10.0328
2013-06-07,10.022,10.0235
2013-06-10,9.9938,9.9957
2013-06-11,9.952,9.954
2013-06-12,9.9266,9.9288
2013-06-13,9.9095,9.9118
2013-06-14,9.9524,9.9549
2013-06-17,9.9789,9.9818
2013-06-18,9.9934,9.9964
2013-06-19,10.0054,10.0085
2013-06-20,9.9274,9.9306
2013-06-21,9.9128,9.9161
2013-06-24,9.7996,9.8034
2013-06-25,9.7789,9.7828
2013-06-26,9.7503,9.7543
2013-06-27,9.7877,9.7919
2013-06-28,9.8949,9.8992
2013-07-01,9.9304,9.9352
2013-07-02,9.9308,9.9357
2013-07-03,9.9099,9.9149
2013-07-04,9.9492,9.9544
2013-07-05,9.966,9.9713
2013-07-08,9.9461,9.9518
2013-07-09,9.9959,10.0018
2013-07-10,10.0019,10.0079
2013-07-11,10.0555,10.0617
2013-07-12,10.122,10.1284
2013-07-15,10.1765,10.1833
2013-07-16,10.1013,10.1081
2013-07-17,10.1463,10.1534
2013-07-18,10.2091,10.2163
2013-07-19,10.1215,10.1288
2013-07-22,10.1831,10.1909
2013-07-23,10.1585,10.1664
2013-07-24,10.0279,10.0358
2013-07-25,9.9619,9.9699
2013-07-26,9.9513,9.9594
2013-07-29,9.8829,9.8913
2013-07-30,9.8338,9.8424
2013-07-31,9.7639,9.7726
2013-08-01,9.7789,9.7877
2013-08-02,9.8062,9.8152
2013-08-05,9.7795,9.7889
2013-08-06,9.67,9.6794
2013-08-07,9.6816,9.6912
2013-08-08,9.7943,9.8041
2013-08-12,9.8889,9.8993
2013-08-13,9.9563,9.9669
2013-08-14,9.9481,9.9589
2013-08-16,9.825,9.8359
2013-08-19,9.6952,9.7064
2013-08-20,9.7015,9.7127
2013-08-21,9.6811,9.6923
2013-08-22,9.6912,9.7025
2013-08-23,9.7683,9.7798
2013-08-26,9.745,9.7569
2013-08-27,9.6448,9.6567
2013-08-28,9.6131,9.6251
2013-08-29,9.6368,9.649
2013-08-30,9.6328,9.6451
2013-09-02,9.704,9.7168
2013-09-03,9.6441,9.657
2013-09-04,9.6458,9.6588
2013-09-05,9.7458,9.7591
2013-09-06,9.7493,9.7627
2013-09-10,9.8735,9.8876
2013-09-11,9.9554,9.9697
2013-09-12,9.9871,10.0016
2013-09-13,10.0253,10.04
2013-09-16,10.0168,10.0314
2013-09-17,10.03,10.0447
2013-09-18,10.1095,10.1245
2013-09-19,10.1929,10.2081
2013-09-20,10.1467,10.162
2013-09-23,10.0433,10.0588
2013-09-24,10.0267,10.0423
2013-09-25,10.0738,10.0896
2013-09-26,10.0951,10.1112
2013-09-27,10.0986,10.1148
2013-09-30,10.1265,10.1415
2013-10-01,10.1737,10.189
2013-10-03,10.1881,10.2037
2013-10-04,10.1368,10.1524
2013-10-07,10.1418,10.1578
2013-10-08,10.1255,10.1417
2013-10-09,10.1087,10.125
2013-10-10,10.161,10.1775
2013-10-11,10.2302,10.247
2013-10-14,10.3252,10.3426
2013-10-15,10.3139,10.3314
2013-10-17,10.3163,10.334
2013-10-18,10.4424,10.4605
2013-10-21,10.5235,10.5421
2013-10-22,10.5534,10.5722
2013-10-23,10.5709,10.59
2013-10-24,10.5476,10.5668
2013-10-25,10.5259,10.5451
2013-10-28,10.5491,10.5689
2013-10-29,10.5767,10.5966
2013-10-30,10.5876,10.6077
2013-10-31,10.6735,10.6939
2013-11-01,10.7179,10.7386
2013-11-05,10.796,10.8176
2013-11-06,10.7954,10.8172
2013-11-07,10.7458,10.7677
2013-11-08,10.6785,10.7003
2013-11-11,10.6535,10.6757
2013-11-12,10.6397,10.6621
2013-11-13,10.6289,10.6513
2013-11-14,10.7104,10.7331
2013-11-18,10.8165,10.8401
2013-11-19,10.8265,10.8503
2013-11-20,10.8745,10.8985
2013-11-21,10.8178,10.8418
2013-11-22,10.744,10.768
2013-11-25,10.7553,10.7797
2013-11-26,10.7029,10.7274
2013-11-27,10.7444,10.7691
2013-11-28,10.7741,10.7991
2013-11-29,10.8209,10.846
2013-12-02,10.8723,10.8981
2013-12-03,10.7827,10.8084
2013-12-04,10.7638,10.7896
2013-12-05,10.8076,10.8336
2013-12-06,10.7922,10.8184
2013-12-09,10.8142,10.8408
2013-12-10,10.7161,10.7427
2013-12-11,10.73,10.7567
2013-12-12,10.6617,10.6884
2013-12-13,10.5823,10.6091
2013-12-16,10.6088,10.6361
2013-12-17,10.625,10.6524
2013-12-18,10.7051,10.7329
2013-12-19,10.7876,10.8157
2013-12-20,10.9124,10.941
2013-12-23,11.0358,11.0652
2013-12-24,11.0425,11.0721
2013-12-26,11.1054,11.1355
