date,usd_inr,source
2006-01-02,45.0500,RBI
2006-01-03,44.9500,RBI
2006-01-04,44.8500,RBI
2006-01-05,44.6700,RBI
2006-01-06,44.6600,RBI
2006-01-09,44.2800,RBI
2006-01-10,44.3800,RBI
2006-01-12,44.1500,RBI
2006-01-13,44.2600,RBI
2006-01-16,44.1700,RBI
2006-01-17,44.3100,RBI
2006-01-18,44.5100,RBI
2006-01-19,44.3600,RBI
2006-01-20,44.3600,RBI
2006-01-23,44.1500,RBI
2006-01-24,44.2100,RBI
2006-01-25,44.2900,RBI
2006-01-27,44.1500,RBI
2006-01-30,44.1400,RBI
2006-01-31,44.0700,RBI
2006-02-01,44.1500,RBI
2006-02-02,44.3100,RBI
2006-02-03,44.2300,RBI
2006-02-06,44.2000,RBI
2006-02-07,44.2700,RBI
2006-02-08,44.2000,RBI
2006-02-10,44.2100,RBI
2006-02-13,44.2600,RBI
2006-02-14,44.2200,RBI
2006-02-15,44.2700,RBI
2006-02-16,44.3000,RBI
2006-02-17,44.4600,RBI
2006-02-20,44.4300,RBI
2006-02-21,44.4000,RBI
2006-02-22,44.5100,RBI
2006-02-23,44.5600,RBI
2006-02-24,44.4500,RBI
2006-02-27,44.4200,RBI
2006-02-28,44.4400,RBI
2006-03-01,44.3500,RBI
2006-03-02,44.3400,RBI
2006-03-03,44.3600,RBI
2006-03-06,44.3200,RBI
2006-03-07,44.3300,RBI
2006-03-08,44.4200,RBI
2006-03-09,44.5500,RBI
2006-03-10,44.5000,RBI
2006-03-13,44.5300,RBI
2006-03-14,44.4700,RBI
2006-03-16,44.4100,RBI
2006-03-17,44.4200,RBI
2006-03-20,44.4400,RBI
2006-03-21,44.3800,RBI
2006-03-22,44.4700,RBI
2006-03-23,44.5500,RBI
2006-03-24,44.6600,RBI
2006-03-27,44.6600,RBI
2006-03-28,44.6600,RBI
2006-03-29,44.6900,RBI
2006-03-31,44.6100,RBI
2006-04-03,44.6100,RBI
2006-04-04,44.6100,RBI
2006-04-05,44.6900,RBI
2006-04-07,44.6300,RBI
2006-04-10,44.7400,RBI
2006-04-12,44.9300,RBI
2006-04-13,45.3000,RBI
2006-04-17,45.1500,RBI
2006-04-18,45.1500,RBI
2006-04-19,45.1400,RBI
2006-04-20,45.1500,RBI
2006-04-21,45.0900,RBI
2006-04-24,45.0600,RBI
2006-04-25,44.8300,RBI
2006-04-26,45.0300,RBI
2006-04-27,45.0600,RBI
2006-04-28,44.9700,RBI
2006-05-02,44.9000,RBI
2006-05-03,44.8600,RBI
2006-05-04,44.9700,RBI
2006-05-05,44.8800,RBI
2006-05-08,44.8800,RBI
2006-05-09,44.9600,RBI
2006-05-10,44.9300,RBI
2006-05-11,45.0700,RBI
2006-05-12,45.0500,RBI
2006-05-15,45.3900,RBI
2006-05-16,45.6100,RBI
2006-05-17,45.3400,RBI
2006-05-18,45.4800,RBI
2006-05-19,45.4600,RBI
2006-05-22,45.6800,RBI
2006-05-23,45.5200,RBI
2006-05-24,45.7300,RBI
2006-05-25,45.8500,RBI
2006-05-26,45.8500,RBI
2006-05-29,45.9700,RBI
2006-05-30,46.1900,RBI
2006-05-31,46.4300,RBI
2006-06-01,46.2200,RBI
2006-06-02,46.1700,RBI
2006-06-05,45.8200,RBI
2006-06-06,45.9200,RBI
2006-06-07,45.9300,RBI
2006-06-08,46.0600,RBI
2006-06-09,45.9200,RBI
2006-06-12,45.8800,RBI
2006-06-13,46.0400,RBI
2006-06-14,45.9800,RBI
2006-06-15,45.9100,RBI
2006-06-16,45.9200,RBI
2006-06-19,45.8900,RBI
2006-06-20,45.9100,RBI
2006-06-21,45.9200,RBI
2006-06-22,46.0100,RBI
2006-06-23,46.2000,RBI
2006-06-26,46.3400,RBI
2006-06-27,46.3600,RBI
2006-06-28,46.4000,RBI
2006-06-29,46.3400,RBI
2006-06-30,46.0800,RBI
2006-07-03,45.9800,RBI
2006-07-04,46.0100,RBI
2006-07-05,46.0300,RBI
2006-07-06,46.1500,RBI
2006-07-07,46.1200,RBI
2006-07-10,46.0600,RBI
2006-07-11,46.2100,RBI
2006-07-12,46.2100,RBI
2006-07-13,46.2900,RBI
2006-07-14,46.4300,RBI
2006-07-17,46.4400,RBI
2006-07-18,46.7300,RBI
2006-07-19,46.9500,RBI
2006-07-20,46.8400,RBI
2006-07-21,46.8300,RBI
2006-07-24,46.9300,RBI
2006-07-25,46.8100,RBI
2006-07-26,46.8500,RBI
2006-07-27,46.6400,RBI
2006-07-28,46.5600,RBI
2006-07-31,46.5100,RBI
2006-08-01,46.6500,RBI
2006-08-02,46.5600,RBI
2006-08-03,46.7200,RBI
2006-08-04,46.5400,RBI
2006-08-07,46.4900,RBI
2006-08-08,46.5900,RBI
2006-08-09,46.5300,RBI
2006-08-10,46.4300,RBI
2006-08-11,46.5200,RBI
2006-08-14,46.5600,RBI
2006-08-16,46.5500,RBI
2006-08-17,46.4600,RBI
2006-08-18,46.4800,RBI
2006-08-21,46.4500,RBI
2006-08-22,46.5200,RBI
2006-08-23,46.5600,RBI
2006-08-24,46.5000,RBI
2006-08-25,46.6100,RBI
2006-08-28,46.5600,RBI
2006-08-29,46.5200,RBI
2006-08-30,46.5100,RBI
2006-08-31,46.5500,RBI
2006-09-01,46.5300,RBI
2006-09-04,46.4400,RBI
2006-09-05,46.2200,RBI
2006-09-06,46.2100,RBI
2006-09-07,46.1000,RBI
2006-09-08,46.2000,RBI
2006-09-11,46.2700,RBI
2006-09-12,46.3400,RBI
2006-09-13,46.2200,RBI
2006-09-14,46.1500,RBI
2006-09-15,46.1300,RBI
2006-09-18,46.1200,RBI
2006-09-19,46.1100,RBI
2006-09-20,46.0500,RBI
