date,nav_regular_growth,nav_direct_growth
2006-04-03,51.6300,
2006-04-04,51.7500,
2006-04-05,52.4400,
2006-04-07,52.4700,
2006-04-10,52.8600,
2006-04-12,52.1600,
2006-04-13,51.2900,
2006-04-17,52.1700,
2006-04-18,52.7900,
2006-04-19,52.9900,
2006-04-20,53.3000,
2006-04-21,53.4500,
2006-04-24,53.3200,
2006-04-25,52.6800,
2006-04-26,53.2600,
2006-04-27,53.1900,
2006-04-28,52.9800,
2006-05-02,54.1000,
2006-05-03,54.0500,
2006-05-04,53.7700,
2006-05-05,53.7400,
2006-05-08,53.9200,
2006-05-09,54.1000,
2006-05-10,53.9900,
2006-05-11,53.5500,
2006-05-12,53.0000,
2006-05-15,51.9800,
2006-05-16,52.0600,
2006-05-17,52.5900,
2006-05-18,50.7000,
2006-05-19,49.6000,
2006-05-22,47.9900,
2006-05-23,48.7200,
2006-05-24,48.4100,
2006-05-25,48.2900,
2006-05-26,48.8800,
2006-05-29,48.9600,
2006-05-30,48.9400,
2006-05-31,48.0500,
2006-06-01,47.1000,
2006-06-02,47.5100,
2006-06-05,47.1000,
2006-06-06,46.3900,
2006-06-07,45.1200,
2006-06-08,43.5900,
2006-06-09,45.3000,
2006-06-12,44.7900,
2006-06-13,43.5500,
2006-06-14,43.0300,
2006-06-15,44.5000,
2006-06-16,45.4800,
2006-06-19,45.7700,
2006-06-20,45.6300,
2006-06-21,46.1200,
2006-06-22,46.6600,
2006-06-23,46.9600,
2006-06-26,46.0500,
2006-06-27,45.7100,
2006-06-28,45.6900,
2006-06-29,45.8600,
2006-06-30,46.9000,
2006-07-03,47.0500,
2006-07-04,47.1100,
2006-07-05,47.4000,
2006-07-06,47.1600,
2006-07-07,46.6000,
2006-07-10,46.5900,
2006-07-11,46.7000,
2006-07-12,47.3000,
2006-07-13,47.2500,
2006-07-14,46.9500,
2006-07-17,46.3000,
2006-07-18,46.1300,
2006-07-19,45.4300,
2006-07-20,45.8800,
2006-07-21,45.3000,
2006-07-24,45.1800,
2006-07-25,45.7500,
2006-07-26,46.3100,
2006-07-27,46.7400,
2006-07-28,46.9900,
2006-07-31,47.1200,
2006-08-01,47.0600,
2006-08-02,47.2700,
2006-08-03,47.5100,
2006-08-04,47.4400,
2006-08-07,47.4500,
2006-08-08,47.7500,
2006-08-09,48.2900,
2006-08-10,48.3600,
2006-08-11,48.7300,
