date,nav_regular_growth,nav_direct_growth
2006-07-06,10.0214,
2006-07-07,10.0230,
2006-07-10,10.0269,
2006-07-11,10.0293,
2006-07-12,10.0313,
2006-07-13,10.0327,
2006-07-14,10.0345,
2006-07-17,10.0392,
2006-07-18,10.0406,
2006-07-19,10.0429,
2006-07-20,10.0438,
2006-07-21,10.0464,
2006-07-24,10.0487,
2006-07-25,10.0504,
2006-07-26,10.0514,
2006-07-27,10.0542,
2006-07-28,10.0637,
2006-07-31,10.0730,
2006-08-01,10.0627,
2006-08-02,10.0639,
2006-08-03,10.0769,
2006-08-04,10.0705,
2006-08-07,10.0782,
2006-08-08,10.0742,
2006-08-09,10.0746,
2006-08-10,10.0750,
2006-08-11,10.0808,
2006-08-14,10.0825,
2006-08-16,10.0908,
2006-08-17,10.0926,
2006-08-18,10.0894,
2006-08-21,10.0878,
2006-08-22,10.0954,
2006-08-23,10.0945,
2006-08-24,10.0898,
2006-08-25,10.0965,
2006-08-28,10.0987,
2006-08-29,10.1045,
2006-08-30,10.1029,
2006-08-31,10.1095,
2006-09-01,10.1055,
2006-09-04,10.1076,
2006-09-05,10.1135,
2006-09-06,10.1298,
2006-09-07,10.1154,
2006-09-08,10.1165,
2006-09-11,10.1510,
2006-09-12,10.1291,
2006-09-13,10.1313,
2006-09-14,10.1320,
2006-09-15,10.1371,
2006-09-18,10.1460,
2006-09-19,10.1553,
2006-09-20,10.1345,
2006-09-21,10.1472,
2006-09-22,10.1487,
2006-09-25,10.1557,
2006-09-26,10.1514,
2006-09-27,10.1552,
2006-09-28,10.1505,
2006-09-29,10.1675,
2006-10-03,10.1741,
2006-10-04,10.1816,
2006-10-05,10.1683,
2006-10-06,10.1734,
2006-10-09,10.1797,
2006-10-10,10.1866,
2006-10-11,10.1992,
2006-10-12,10.1854,
2006-10-13,10.1909,
2006-10-16,10.1973,
2006-10-17,10.1936,
2006-10-18,10.1902,
2006-10-19,10.1880,
2006-10-20,10.1967,
2006-10-23,10.2038,
2006-10-26,10.1962,
2006-10-27,10.2265,
2006-10-30,10.2163,
2006-10-31,10.2313,
2006-11-01,10.2354,
2006-11-02,10.2291,
2006-11-03,10.2310,
2006-11-06,10.2335,
2006-11-07,10.2431,
2006-11-08,10.2375,
2006-11-09,10.2358,
2006-11-10,10.2386,
2006-11-13,10.2457,
2006-11-14,10.2485,
2006-11-15,10.2456,
2006-11-16,10.2584,
2006-11-17,10.2604,
2006-11-20,10.2459,
2006-11-21,10.2520,
2006-11-22,10.2597,
2006-11-23,10.2614,
2006-11-24,10.2733,
2006-11-27,10.2690,
2006-11-28,10.2694,
2006-11-29,10.2651,
2006-11-30,10.2581,
2006-12-01,10.2812,
2006-12-04,10.2885,
2006-12-05,10.3029,
2006-12-06,10.3028,
2006-12-07,10.3002,
2006-12-08,10.3189,
2006-12-11,10.3398,
2006-12-12,10.3438,
2006-12-13,10.3328,
2006-12-14,10.3307,
2006-12-15,10.3279,
2006-12-18,10.3247,
2006-12-19,10.3460,
2006-12-20,10.3441,
2006-12-21,10.3493,
2006-12-22,10.3462,
2006-12-26,10.3444,
2006-12-27,10.3390,
2006-12-28,10.3351,
2006-12-29,10.3575,
2007-01-02,10.3593,
2007-01-03,10.3619,
2007-01-04,10.3821,
2007-01-05,10.3829,
2007-01-08,10.3814,
2007-01-09,10.3827,
2007-01-10,10.3878,
2007-01-11,10.3668,
2007-01-12,10.3727,
2007-01-15,10.3799,
2007-01-16,10.3867,
2007-01-17,10.3910,
2007-01-18,10.3980,
2007-01-19,10.3980,
2007-01-22,10.4007,
2007-01-23,10.4011,
2007-01-24,10.3993,
2007-01-25,10.4054,
2007-01-29,10.4342,
2007-01-31,10.4419,
2007-02-01,10.4241,
2007-02-02,10.4433,
2007-02-05,10.4455,
2007-02-06,10.4475,
2007-02-07,10.4507,
2007-02-08,10.4554,
2007-02-09,10.4719,
2007-02-12,10.4841,
2007-02-13,10.4806,
2007-02-14,10.4689,
2007-02-15,10.4742,
2007-02-19,10.4827,
2007-02-20,10.4866,
2007-02-21,10.4862,
2007-02-22,10.4826,
2007-02-23,10.5056,
2007-02-26,10.4921,
2007-02-27,10.5150,
2007-02-28,10.5243,
2007-03-01,10.5179,
2007-03-02,10.5307,
2007-03-05,10.5502,
2007-03-06,10.5470,
2007-03-07,10.5529,
2007-03-08,10.5572,
2007-03-09,10.5570,
2007-03-12,10.5605,
2007-03-13,10.5647,
2007-03-14,10.5827,
2007-03-15,10.5821,
2007-03-16,10.5826,
2007-03-19,10.5758,
2007-03-20,10.5907,
2007-03-21,10.5815,
2007-03-22,10.5873,
2007-03-23,10.5853,
2007-03-26,10.5835,
2007-03-28,10.5907,
2007-03-29,10.5901,
2007-03-30,10.6291,
2007-04-02,10.6559,
2007-04-03,10.6497,
2007-04-04,10.6508,
2007-04-05,10.6544,
2007-04-09,10.6480,
2007-04-10,10.6523,
2007-04-11,10.6560,
2007-04-12,10.6597,
2007-04-13,10.6553,
2007-04-16,10.6518,
2007-04-17,10.6644,
2007-04-18,10.6636,
2007-04-19,10.6624,
2007-04-20,10.6695,
2007-04-23,10.6771,
2007-04-24,10.6793,
2007-04-25,10.6748,
2007-04-26,10.6842,
2007-04-27,10.7119,
2007-04-30,10.6880,
2007-05-03,10.6912,
2007-05-04,10.6950,
2007-05-07,10.7158,
2007-05-08,10.7306,
2007-05-09,10.7109,
2007-05-10,10.7439,
2007-05-11,10.7305,
2007-05-14,10.7227,
2007-05-15,10.7219,
2007-05-16,10.7214,
2007-05-17,10.7330,
2007-05-18,10.7256,
2007-05-21,10.7437,
2007-05-22,10.7359,
2007-05-23,10.7515,
2007-05-24,10.7556,
2007-05-25,10.7376,
2007-05-28,10.7590,
2007-05-29,10.7631,
2007-05-30,10.7706,
2007-05-31,10.7633,
2007-06-01,10.7809,
