date,nav_regular_growth,nav_direct_growth
2018-08-31,10.0075,10.0081
2018-09-03,10.0107,10.0125
2018-09-04,10.0126,10.0148
2018-09-05,10.0096,10.0121
2018-09-06,10.0153,10.0182
2018-09-07,10.0187,10.0219
2018-09-10,10.0002,10.0046
2018-09-11,9.9870,9.9918
2018-09-12,10.0002,10.0054
2018-09-14,10.0268,10.0328
2018-09-17,10.0100,10.0171
2018-09-18,9.9905,9.9980
2018-09-19,9.9819,9.9897
2018-09-21,9.9552,9.9638
2018-09-24,9.8850,9.8947
2018-09-25,9.9167,9.9268
2018-09-26,9.9173,9.9278
2018-09-27,9.8888,9.8996
2018-09-28,9.8680,9.8792
2018-10-01,9.8936,9.9058
2018-10-03,9.8648,9.8777
2018-10-04,9.8143,9.8275
2018-10-05,9.7423,9.7558
2018-10-08,9.7322,9.7468
2018-10-09,9.7294,9.7444
2018-10-10,9.7750,9.7904
2018-10-11,9.7168,9.7325
2018-10-12,9.7816,9.7978
2018-10-15,9.7971,9.8144
2018-10-16,9.8267,9.8445
2018-10-17,9.7915,9.8096
2018-10-19,9.7636,9.7824
2018-10-22,9.7709,9.7909
2018-10-23,9.7460,9.7663
2018-10-24,9.7663,9.7870
2018-10-25,9.7407,9.7617
2018-10-26,9.7259,9.7473
2018-10-29,9.7906,9.8132
2018-10-30,9.7885,9.8115
2018-10-31,9.8387,9.8622
2018-11-01,9.8383,9.8622
2018-11-02,9.8832,9.9075
2018-11-05,9.8520,9.8774
2018-11-06,9.8561,9.8819
2018-11-09,9.8775,9.9045
2018-11-12,9.8454,9.8734
2018-11-13,9.8693,9.8978
2018-11-14,9.8746,9.9035
2018-11-15,9.8740,9.9033
2018-11-16,9.8873,9.9170
2018-11-19,9.9105,9.9414
2018-11-20,9.8818,9.9130
2018-11-21,9.8744,9.9059
2018-11-22,9.8547,9.8866
2018-11-26,9.8701,9.9036
2018-11-27,9.8813,9.9151
2018-11-28,9.8810,9.9153
2018-11-29,9.9201,9.9549
2018-11-30,9.9351,9.9703
2018-12-03,9.9275,9.9638
2018-12-04,9.9215,9.9582
2018-12-05,9.8868,9.9238
2018-12-06,9.8635,9.9007
2018-12-07,9.8747,9.9123
2018-12-10,9.8314,9.8700
2018-12-11,9.8382,9.8772
2018-12-12,9.9045,9.9441
2018-12-13,9.9263,9.9664
2018-12-14,9.9413,9.9818
2018-12-17,9.9549,9.9967
2018-12-18,9.9631,10.0053
2018-12-19,9.9960,10.0387
2018-12-20,9.9947,10.0378
2018-12-21,9.9452,9.9884
2018-12-24,9.9188,9.9630
2018-12-26,9.9248,9.9699
2018-12-27,9.9439,9.9895
2018-12-28,9.9624,10.0085
2018-12-31,9.9629,10.0100
2019-01-01,9.9763,10.0239
2019-01-02,9.9541,10.0020
2019-01-03,9.9164,9.9646
2019-01-04,9.9350,9.9835
2019-01-07,9.9457,9.9955
2019-01-08,9.9568,10.0070
2019-01-09,9.9687,10.0194
2019-01-10,9.9643,10.0153
2019-01-11,9.9684,10.0198
2019-01-14,9.9538,10.0063
2019-01-15,9.9818,10.0349
2019-01-16,9.9827,10.0361
2019-01-17,9.9884,10.0423
2019-01-18,9.9648,10.0189
2019-01-21,9.9573,10.0125
2019-01-22,9.9497,10.0052
2019-01-23,9.9191,9.9748
2019-01-24,9.9279,9.9841
2019-01-25,9.9103,9.9668
2019-01-28,9.8680,9.9254
2019-01-29,9.8604,9.9181
2019-01-30,9.8595,9.9175
2019-01-31,9.8870,9.9456
2019-02-01,9.8978,9.9569
2019-02-04,9.8751,9.9352
2019-02-05,9.8750,9.9355
2019-02-06,9.9053,9.9664
2019-02-07,9.9291,9.9907
2019-02-08,9.8919,9.9536
2019-02-11,9.8805,9.9433
2019-02-12,9.8579,9.9209
2019-02-13,9.8565,9.9199
2019-02-14,9.8527,9.9165
2019-02-15,9.8465,9.9106
2019-02-18,9.8304,9.8955
2019-02-19,9.8315,9.8970
2019-02-20,9.8606,9.9267
2019-02-21,9.8805,9.9471
2019-02-22,9.9009,9.9680
2019-02-25,9.9255,9.9939
2019-02-26,9.9145,9.9833
2019-02-27,9.9093,9.9783
2019-02-28,9.9196,9.9892
2019-03-01,9.9552,10.0254
2019-03-05,9.9939,10.0659
2019-03-06,10.0144,10.0869
2019-03-07,10.0062,10.0791
2019-03-08,10.0045,10.0777
2019-03-11,10.0519,10.1267
2019-03-12,10.0824,10.1577
2019-03-13,10.0751,10.1508
2019-03-14,10.0802,10.1563
2019-03-15,10.1048,10.1815
2019-03-18,10.0981,10.1760
2019-03-19,10.1092,10.1875
2019-03-20,10.1055,10.1841
2019-03-22,10.1177,10.1973
2019-03-25,10.0900,10.1705
2019-03-26,10.1050,10.1860
2019-03-27,10.0958,10.1771
2019-03-28,10.1267,10.2086
2019-03-29,10.1643,10.2469
2019-04-01,10.1694,10.2532
