date,nav_regular_growth,nav_direct_growth
2006-04-03,14.5174,
2006-04-04,14.5280,
2006-04-05,14.5412,
2006-04-07,14.5490,
2006-04-10,14.5538,
2006-04-12,14.5530,
2006-04-13,14.5477,
2006-04-17,14.5452,
2006-04-18,14.6214,
2006-04-19,14.6926,
2006-04-20,14.6690,
2006-04-21,14.6809,
2006-04-24,14.6745,
2006-04-25,14.6788,
2006-04-26,14.6530,
2006-04-27,14.6466,
2006-04-28,14.6554,
2006-05-02,14.6421,
2006-05-03,14.6370,
2006-05-04,14.6362,
2006-05-05,14.6359,
2006-05-08,14.6400,
2006-05-09,14.6463,
2006-05-10,14.6491,
2006-05-11,14.6424,
2006-05-12,14.6342,
2006-05-15,14.6256,
2006-05-16,14.6238,
2006-05-17,14.6214,
2006-05-18,14.6190,
2006-05-19,14.6255,
2006-05-22,14.6332,
2006-05-23,14.6329,
2006-05-24,14.6324,
2006-05-25,14.6332,
2006-05-26,14.6382,
2006-05-29,14.6353,
2006-05-30,14.6314,
2006-05-31,14.6345,
2006-06-01,14.6293,
2006-06-02,14.6330,
2006-06-05,14.6388,
2006-06-06,14.6417,
2006-06-07,14.6367,
2006-06-08,14.6359,
2006-06-09,14.6098,
2006-06-12,14.6140,
2006-06-13,14.6121,
2006-06-14,14.6200,
2006-06-15,14.6216,
2006-06-16,14.6192,
2006-06-19,14.6029,
2006-06-20,14.6044,
2006-06-21,14.6069,
2006-06-22,14.5934,
2006-06-23,14.5808,
2006-06-26,14.5842,
2006-06-27,14.5870,
2006-06-28,14.5891,
2006-06-29,14.5905,
2006-06-30,14.5917,
2006-07-03,14.5977,
2006-07-04,14.5999,
2006-07-05,14.6024,
2006-07-06,14.5998,
2006-07-07,14.5972,
2006-07-10,14.5954,
2006-07-11,14.5845,
2006-07-12,14.5842,
2006-07-13,14.5924,
2006-07-14,14.5925,
2006-07-17,14.5993,
2006-07-18,14.6017,
2006-07-19,14.6063,
2006-07-20,14.6140,
2006-07-21,14.6293,
2006-07-24,14.6386,
2006-07-25,14.6352,
2006-07-26,14.6331,
2006-07-27,14.6380,
2006-07-28,14.6325,
2006-07-31,14.6407,
2006-08-01,14.6311,
2006-08-02,14.6356,
2006-08-03,14.6393,
2006-08-04,14.6435,
2006-08-07,14.6550,
2006-08-08,14.6679,
2006-08-09,14.6952,
2006-08-10,14.7081,
2006-08-11,14.6963,
2006-08-14,14.7019,
2006-08-16,14.7229,
2006-08-17,14.7553,
2006-08-18,14.7437,
2006-08-21,14.7489,
2006-08-22,14.7548,
2006-08-23,14.7733,
2006-08-24,14.8041,
2006-08-25,14.7840,
2006-08-28,14.7995,
2006-08-29,14.8008,
2006-08-30,14.8063,
2006-08-31,14.8172,
2006-09-01,14.8216,
2006-09-04,14.8833,
2006-09-05,14.8751,
2006-09-06,14.8672,
2006-09-07,14.8677,
2006-09-08,14.9120,
2006-09-11,14.9135,
2006-09-12,14.8811,
2006-09-13,14.8971,
2006-09-14,14.8728,
2006-09-15,14.8589,
2006-09-18,14.8898,
2006-09-19,14.9177,
2006-09-20,14.9789,
2006-09-21,14.9458,
2006-09-22,14.9721,
2006-09-25,14.9839,
2006-09-26,15.0158,
2006-09-27,15.0070,
2006-09-28,14.9891,
2006-09-29,14.9803,
2006-10-03,15.0076,
2006-10-04,15.0161,
2006-10-05,15.0197,
2006-10-06,15.0175,
2006-10-09,14.9979,
2006-10-10,15.0178,
2006-10-11,15.0092,
2006-10-12,15.0256,
2006-10-13,15.0110,
2006-10-16,15.0044,
2006-10-17,15.0033,
2006-10-18,15.0038,
2006-10-19,15.0079,
2006-10-20,15.0204,
2006-10-23,15.0256,
2006-10-26,15.0404,
2006-10-27,15.0483,
2006-10-30,15.0480,
2006-10-31,15.0471,
2006-11-01,15.0562,
2006-11-02,15.0651,
2006-11-03,15.0569,
2006-11-06,15.0618,
2006-11-07,15.0773,
2006-11-08,15.0956,
2006-11-09,15.0856,
2006-11-10,15.0917,
2006-11-13,15.1068,
2006-11-14,15.1294,
2006-11-15,15.1624,
2006-11-16,15.1554,
2006-11-17,15.1715,
2006-11-20,15.2028,
2006-11-21,15.2231,
2006-11-22,15.2248,
2006-11-23,15.2290,
2006-11-24,15.2387,
2006-11-27,15.2742,
2006-11-28,15.2771,
2006-11-29,15.2639,
2006-11-30,15.2487,
2006-12-01,15.2432,
2006-12-04,15.2701,
2006-12-05,15.2800,
2006-12-06,15.2827,
2006-12-07,15.2787,
2006-12-08,15.2840,
2006-12-11,15.1959,
2006-12-12,15.1697,
2006-12-13,15.1704,
2006-12-14,15.1658,
2006-12-15,15.1813,
2006-12-18,15.1962,
2006-12-19,15.2043,
2006-12-20,15.2072,
2006-12-21,15.2032,
2006-12-22,15.2071,
2006-12-26,15.2096,
2006-12-27,15.2143,
2006-12-28,15.2119,
2006-12-29,15.2158,
2007-01-02,15.2558,
2007-01-03,15.2528,
2007-01-04,15.2440,
2007-01-05,15.2559,
2007-01-08,15.2869,
2007-01-09,15.2832,
2007-01-10,15.2757,
2007-01-11,15.2790,
2007-01-12,15.1462,
2007-01-15,15.1708,
2007-01-16,15.1901,
2007-01-17,15.1800,
2007-01-18,15.1732,
2007-01-19,15.1851,
2007-01-22,15.1441,
2007-01-23,15.1636,
2007-01-24,15.1726,
2007-01-25,15.1751,
2007-01-29,15.1678,
2007-01-31,15.2618,
2007-02-01,15.2644,
2007-02-02,15.2865,
2007-02-05,15.2838,
2007-02-06,15.2602,
2007-02-07,15.2564,
2007-02-08,15.2147,
2007-02-09,15.2107,
2007-02-12,15.2065,
2007-02-13,15.1516,
2007-02-14,15.0945,
2007-02-15,15.1189,
2007-02-19,15.1304,
2007-02-20,15.1376,
2007-02-21,15.1716,
2007-02-22,15.1607,
2007-02-23,15.1743,
2007-02-26,15.1981,
2007-02-27,15.1996,
2007-02-28,15.1608,
2007-03-01,15.1901,
2007-03-02,15.1864,
2007-03-05,15.1904,
2007-03-06,15.1909,
2007-03-07,15.1931,
2007-03-08,15.1752,
2007-03-09,15.1818,
2007-03-12,15.2147,
2007-03-13,15.2076,
2007-03-14,15.2049,
2007-03-15,15.1966,
2007-03-16,15.1909,
2007-03-19,15.2001,
2007-03-20,15.1883,
2007-03-21,15.2078,
2007-03-22,15.2323,
2007-03-23,15.2366,
2007-03-26,15.2330,
2007-03-28,15.2446,
2007-03-29,15.2541,
2007-03-30,15.2484,
2007-04-02,15.2585,
2007-04-03,15.2079,
2007-04-04,15.2129,
2007-04-05,15.2130,
2007-04-09,15.2371,
2007-04-10,15.2524,
2007-04-11,15.2446,
2007-04-12,15.2338,
2007-04-13,15.2343,
2007-04-16,15.2401,
2007-04-17,15.2411,
2007-04-18,15.2552,
2007-04-19,15.2641,
2007-04-20,15.2667,
2007-04-23,15.2738,
2007-04-24,15.3563,
2007-04-25,15.3599,
2007-04-26,15.3193,
2007-04-27,15.2881,
2007-04-30,15.2897,
2007-05-03,15.3018,
2007-05-04,15.2966,
2007-05-07,15.2992,
2007-05-08,15.3125,
2007-05-09,15.3283,
2007-05-10,15.2934,
2007-05-11,15.2914,
2007-05-14,15.3101,
2007-05-15,15.3308,
2007-05-16,15.3466,
2007-05-17,15.3400,
2007-05-18,15.3316,
2007-05-21,15.3635,
2007-05-22,15.3568,
2007-05-23,15.3568,
2007-05-24,15.3533,
2007-05-25,15.3744,
2007-05-28,15.4054,
2007-05-29,15.3988,
2007-05-30,15.3951,
2007-05-31,15.4045,
2007-06-01,15.4082,
2007-06-04,15.4088,
2007-06-05,15.4008,
2007-06-06,15.3765,
2007-06-07,15.3890,
2007-06-08,15.3671,
2007-06-11,15.3248,
2007-06-12,15.3279,
2007-06-13,15.3208,
2007-06-14,15.3555,
2007-06-15,15.3692,
2007-06-18,15.3821,
2007-06-19,15.3773,
2007-06-20,15.3752,
2007-06-21,15.3846,
2007-06-22,15.3900,
2007-06-25,15.4052,
2007-06-26,15.3946,
2007-06-27,15.3850,
2007-06-28,15.4053,
2007-06-29,15.4082,
2007-07-02,15.4418,
2007-07-03,15.4510,
2007-07-04,15.4759,
2007-07-05,15.5022,
2007-07-06,15.4990,
2007-07-09,15.5427,
2007-07-10,15.5309,
2007-07-11,15.5293,
2007-07-12,15.5379,
2007-07-13,15.5323,
2007-07-16,15.5462,
2007-07-17,15.5725,
2007-07-18,15.6241,
2007-07-19,15.5855,
2007-07-20,15.5997,
2007-07-23,15.6503,
2007-07-24,15.6448,
2007-07-25,15.6127,
2007-07-26,15.6287,
2007-07-27,15.5957,
2007-07-30,15.6375,
2007-07-31,15.5831,
2007-08-01,15.5572,
2007-08-02,15.5707,
2007-08-03,15.5731,
2007-08-06,15.5914,
2007-08-07,15.6147,
2007-08-08,15.5631,
2007-08-09,15.5220,
2007-08-10,15.5276,
2007-08-13,15.5168,
2007-08-14,15.5146,
2007-08-16,15.4958,
2007-08-17,15.5324,
2007-08-20,15.5396,
2007-08-21,15.5514,
2007-08-22,15.5776,
2007-08-23,15.5737,
2007-08-24,15.5827,
2007-08-27,15.5956,
2007-08-28,15.5949,
2007-08-29,15.5856,
2007-08-30,15.5747,
2007-08-31,15.6042,
2007-09-03,15.6253,
2007-09-04,15.6134,
2007-09-05,15.6147,
2007-09-06,15.6142,
2007-09-07,15.6360,
2007-09-10,15.6604,
2007-09-11,15.6340,
2007-09-12,15.6426,
2007-09-13,15.6376,
2007-09-14,15.6591,
2007-09-17,15.6562,
2007-09-18,15.6627,
2007-09-19,15.6843,
2007-09-20,15.7009,
2007-09-21,15.6943,
2007-09-24,15.6746,
2007-09-25,15.6508,
2007-09-26,15.6478,
2007-09-27,15.6392,
2007-09-28,15.6480,
2007-10-01,15.6543,
2007-10-03,15.6872,
2007-10-04,15.6747,
2007-10-05,15.6572,
2007-10-08,15.6545,
2007-10-09,15.6569,
2007-10-10,15.6810,
2007-10-11,15.7009,
2007-10-12,15.7017,
2007-10-15,15.7018,
2007-10-16,15.6980,
2007-10-17,15.6988,
2007-10-18,15.7097,
2007-10-19,15.7133,
2007-10-22,15.7474,
2007-10-23,15.7846,
2007-10-24,15.7751,
2007-10-25,15.7926,
2007-10-26,15.7961,
2007-10-29,15.8160,
2007-10-30,15.7920,
2007-10-31,15.8041,
2007-11-01,15.7976,
2007-11-02,15.8000,
2007-11-05,15.7949,
2007-11-06,15.7844,
2007-11-07,15.7804,
2007-11-08,15.7671,
2007-11-12,15.7832,
2007-11-13,15.8076,
2007-11-14,15.8114,
2007-11-15,15.8092,
2007-11-16,15.8139,
2007-11-19,15.8262,
2007-11-20,15.8184,
2007-11-21,15.8184,
2007-11-22,15.8310,
2007-11-23,15.8343,
2007-11-26,15.8466,
2007-11-27,15.8431,
2007-11-28,15.8338,
2007-11-29,15.8320,
2007-11-30,15.8482,
2007-12-03,15.8793,
2007-12-04,15.8871,
2007-12-05,15.9018,
2007-12-06,15.9084,
2007-12-07,15.9210,
2007-12-10,15.9320,
2007-12-11,15.9327,
2007-12-12,15.9428,
2007-12-13,15.9349,
2007-12-14,15.9450,
2007-12-17,15.9623,
2007-12-18,15.9741,
2007-12-19,15.9807,
2007-12-20,15.9907,
2007-12-24,16.0026,
2007-12-26,16.0079,
2007-12-27,16.0261,
2007-12-28,16.0707,
2007-12-31,16.1111,
2008-01-01,16.1602,
2008-01-02,16.1751,
2008-01-03,16.1603,
2008-01-04,16.2106,
2008-01-07,16.2595,
2008-01-08,16.2484,
2008-01-09,16.2685,
2008-01-10,16.3610,
2008-01-11,16.4044,
2008-01-14,16.4540,
2008-01-15,16.4293,
2008-01-16,16.4232,
2008-01-17,16.4406,
2008-01-18,16.4506,
2008-01-21,16.4675,
2008-01-22,16.5722,
2008-01-23,16.6782,
2008-01-24,16.6850,
2008-01-25,16.6476,
2008-01-28,16.6032,
2008-01-29,16.4845,
2008-01-30,16.4396,
2008-01-31,16.5242,
2008-02-01,16.5393,
2008-02-04,16.5184,
2008-02-05,16.5159,
2008-02-06,16.5685,
2008-02-07,16.6133,
2008-02-08,16.6312,
2008-02-11,16.6817,
2008-02-12,16.6667,
2008-02-13,16.6806,
2008-02-14,16.6728,
2008-02-15,16.5955,
2008-02-18,16.5360,
2008-02-19,16.5199,
2008-02-20,16.4255,
2008-02-21,16.4879,
2008-02-22,16.3607,
2008-02-25,16.4380,
2008-02-26,16.3835,
2008-02-27,16.3986,
2008-02-28,16.3943,
2008-02-29,16.4622,
2008-03-03,16.5142,
2008-03-04,16.4140,
2008-03-05,16.4596,
2008-03-07,16.3944,
2008-03-10,16.3414,
2008-03-11,16.3520,
2008-03-12,16.4495,
2008-03-13,16.3970,
2008-03-14,16.3272,
2008-03-17,16.3357,
2008-03-18,16.3796,
2008-03-19,16.3377,
2008-03-24,16.2137,
2008-03-25,16.1751,
2008-03-26,16.1349,
2008-03-27,16.1413,
2008-03-28,16.0208,
2008-03-31,15.9841,
2008-04-01,15.9869,
2008-04-02,15.9641,
2008-04-03,15.9900,
2008-04-04,15.9556,
2008-04-07,15.9588,
2008-04-08,15.9682,
2008-04-09,15.9748,
2008-04-10,15.9627,
2008-04-11,15.9503,
2008-04-15,15.9612,
2008-04-16,15.9449,
2008-04-17,15.9393,
2008-04-21,15.9254,
2008-04-22,15.9280,
2008-04-23,15.9254,
2008-04-24,15.9266,
2008-04-25,15.9347,
2008-04-28,15.9448,
2008-04-29,15.9884,
2008-04-30,15.9989,
2008-05-02,16.0306,
2008-05-05,16.0639,
2008-05-06,16.0507,
2008-05-07,16.0243,
2008-05-08,16.0196,
2008-05-09,16.0296,
2008-05-12,16.0679,
2008-05-13,16.0548,
2008-05-14,16.0512,
2008-05-15,16.0353,
2008-05-16,16.0195,
2008-05-20,16.0236,
2008-05-21,16.0092,
2008-05-22,15.9917,
2008-05-23,15.9868,
2008-05-26,15.9952,
2008-05-27,15.9871,
2008-05-28,15.9987,
2008-05-29,15.9922,
2008-05-30,15.9913,
2008-06-02,16.0041,
2008-06-03,16.0005,
2008-06-04,15.9990,
2008-06-05,15.9899,
2008-06-06,15.9882,
2008-06-09,15.9852,
2008-06-10,15.9876,
2008-06-11,15.9910,
2008-06-12,15.9837,
2008-06-13,15.9714,
2008-06-16,15.9819,
2008-06-17,15.9862,
2008-06-18,15.9805,
2008-06-19,15.9710,
2008-06-20,15.9400,
2008-06-23,15.9425,
2008-06-24,15.9503,
2008-06-25,15.9311,
2008-06-26,15.9310,
2008-06-27,15.9156,
2008-06-30,15.9181,
2008-07-01,15.9148,
2008-07-02,15.9142,
2008-07-03,15.9128,
2008-07-04,15.8981,
2008-07-07,15.9062,
2008-07-08,15.9026,
2008-07-09,15.9044,
2008-07-10,15.9066,
2008-07-11,15.9096,
2008-07-14,15.9186,
2008-07-15,15.9217,
2008-07-16,15.9248,
2008-07-17,15.9279,
2008-07-18,15.9307,
2008-07-21,15.9395,
2008-07-22,15.9427,
2008-07-23,15.9478,
2008-07-24,15.9513,
2008-07-25,15.9445,
2008-07-28,15.9609,
2008-07-29,15.9628,
2008-07-30,15.9656,
2008-07-31,15.9681,
2008-08-01,15.9703,
2008-08-04,15.9779,
2008-08-05,15.9833,
2008-08-06,15.9748,
2008-08-07,15.9405,
2008-08-08,16.0082,
2008-08-11,16.1856,
2008-08-12,16.1262,
2008-08-13,16.0727,
2008-08-14,16.0650,
2008-08-18,16.0783,
2008-08-19,16.0816,
2008-08-20,16.0772,
2008-08-21,16.0805,
2008-08-22,16.0908,
2008-08-25,16.1154,
2008-08-26,16.1451,
2008-08-27,16.1377,
2008-08-28,16.2219,
2008-08-29,16.2113,
2008-09-01,16.3398,
2008-09-02,16.4266,
2008-09-04,16.5640,
2008-09-05,16.5673,
2008-09-08,16.5771,
2008-09-09,16.5802,
2008-09-10,16.5835,
2008-09-11,16.5888,
2008-09-12,16.5865,
2008-09-15,16.6475,
2008-09-16,16.7096,
2008-09-17,16.6188,
2008-09-18,16.6223,
2008-09-19,16.6262,
2008-09-22,16.6374,
2008-09-23,16.6380,
2008-09-24,16.6412,
2008-09-25,16.6338,
2008-09-26,16.6405,
2008-09-29,16.6264,
2008-09-30,16.6306,
2008-10-01,16.6409,
2008-10-03,16.6419,
