date,nav_regular_growth,nav_direct_growth
2006-04-03,22.0557,
2006-04-04,22.1181,
2006-04-05,22.2941,
2006-04-07,21.9366,
2006-04-10,22.0853,
2006-04-12,21.4639,
2006-04-13,21.2448,
2006-04-17,21.7477,
2006-04-18,22.3366,
2006-04-19,22.4485,
2006-04-20,22.6864,
2006-04-21,22.6828,
2006-04-24,22.5287,
2006-04-25,21.9843,
2006-04-26,22.5732,
2006-04-27,22.2710,
2006-04-28,22.2808,
2006-05-02,22.8956,
2006-05-03,23.0777,
2006-05-04,23.1692,
2006-05-05,23.2674,
2006-05-08,23.4523,
2006-05-09,23.6256,
2006-05-10,23.8395,
2006-05-11,23.5032,
2006-05-12,23.1782,
2006-05-15,22.2415,
2006-05-16,22.3707,
2006-05-17,23.0723,
2006-05-18,21.5170,
2006-05-19,20.6107,
2006-05-22,19.5433,
2006-05-23,20.2885,
2006-05-24,19.7567,
2006-05-25,20.1652,
2006-05-26,20.3766,
2006-05-29,20.4072,
2006-05-30,20.2195,
2006-05-31,19.4956,
2006-06-01,18.8274,
2006-06-02,19.6435,
2006-06-05,19.1695,
2006-06-06,18.6681,
2006-06-07,18.1796,
2006-06-08,17.3166,
2006-06-09,18.2155,
2006-06-12,17.6468,
2006-06-13,16.9267,
2006-06-14,16.7341,
2006-06-15,17.7885,
2006-06-16,18.3718,
2006-06-19,18.5483,
2006-06-20,18.1953,
2006-06-21,18.5902,
2006-06-22,19.0436,
2006-06-23,19.3537,
2006-06-26,18.7215,
2006-06-27,18.9693,
2006-06-28,18.9605,
2006-06-29,19.0846,
2006-06-30,19.9110,
2006-07-03,20.0536,
2006-07-04,19.9756,
2006-07-05,20.3436,
2006-07-06,20.0966,
2006-07-07,19.5903,
2006-07-10,20.0191,
2006-07-11,19.8560,
2006-07-12,20.3575,
2006-07-13,20.1897,
2006-07-14,19.8886,
2006-07-17,19.1562,
2006-07-18,19.0682,
2006-07-19,18.6836,
2006-07-20,19.2533,
2006-07-21,18.7607,
2006-07-24,19.0178,
2006-07-25,19.3621,
2006-07-26,19.8016,
2006-07-27,20.0921,
2006-07-28,19.9348,
2006-07-31,20.0123,
2006-08-01,20.0428,
2006-08-02,20.2604,
2006-08-03,20.3100,
2006-08-04,20.2248,
2006-08-07,20.0694,
2006-08-08,20.4673,
2006-08-09,20.7372,
2006-08-10,20.7755,
2006-08-11,20.8693,
2006-08-14,21.1238,
2006-08-16,21.3968,
2006-08-17,21.3831,
2006-08-18,21.4039,
2006-08-21,21.4607,
2006-08-22,21.4514,
2006-08-23,21.2699,
2006-08-24,21.4887,
2006-08-25,21.5869,
2006-08-28,21.6819,
2006-08-29,21.8373,
2006-08-30,21.8666,
2006-08-31,21.7431,
2006-09-01,21.8803,
2006-09-04,22.1426,
2006-09-05,22.1222,
2006-09-06,22.1826,
2006-09-07,22.0390,
2006-09-08,22.1456,
2006-09-11,21.4778,
2006-09-12,21.6278,
2006-09-13,22.0373,
2006-09-14,22.1451,
2006-09-15,22.1894,
2006-09-18,22.2786,
2006-09-19,22.0546,
2006-09-20,22.3413,
2006-09-21,22.6602,
2006-09-22,22.6051,
2006-09-25,22.4727,
2006-09-26,22.7785,
2006-09-27,22.8254,
2006-09-28,22.7827,
2006-09-29,22.8824,
2006-10-03,22.7529,
2006-10-04,22.4083,
2006-10-05,22.7222,
2006-10-06,22.7521,
2006-10-09,22.7348,
2006-10-10,22.7591,
2006-10-11,22.6793,
2006-10-12,23.0754,
2006-10-13,23.4238,
2006-10-16,23.7261,
2006-10-17,23.6688,
2006-10-18,23.6405,
2006-10-19,23.4346,
2006-10-20,23.4299,
2006-10-23,23.3081,
2006-10-26,23.4350,
2006-10-27,23.8259,
2006-10-30,24.0125,
2006-10-31,23.8540,
2006-11-01,23.9972,
2006-11-02,24.1527,
2006-11-03,24.2425,
2006-11-06,24.2659,
2006-11-07,24.1989,
2006-11-08,24.0628,
2006-11-09,24.1815,
2006-11-10,24.4243,
2006-11-13,24.5745,
2006-11-14,24.6195,
2006-11-15,24.6861,
2006-11-16,24.6895,
2006-11-17,24.5349,
2006-11-20,24.5554,
2006-11-21,24.9497,
2006-11-22,25.1816,
2006-11-23,25.1214,
2006-11-24,25.1548,
2006-11-27,25.2683,
2006-11-28,24.9695,
2006-11-29,25.0099,
2006-11-30,25.1760,
2006-12-01,25.4488,
2006-12-04,25.4698,
2006-12-05,25.5630,
2006-12-06,25.5639,
2006-12-07,25.5594,
2006-12-08,25.2204,
2006-12-11,24.5061,
2006-12-12,23.6650,
2006-12-13,23.9615,
2006-12-14,24.4543,
2006-12-15,24.7419,
2006-12-18,25.0320,
2006-12-19,24.4164,
2006-12-20,24.3116,
2006-12-21,24.4251,
2006-12-22,24.6635,
2006-12-26,25.1010,
2006-12-27,25.3660,
2006-12-28,25.3430,
2006-12-29,25.3162,
2007-01-02,25.5746,
2007-01-03,25.6798,
2007-01-04,25.4558,
2007-01-05,25.4211,
2007-01-08,25.1024,
2007-01-09,24.9624,
2007-01-10,24.5747,
2007-01-11,25.1549,
2007-01-12,25.8535,
2007-01-15,26.0200,
2007-01-16,26.0328,
2007-01-17,26.0065,
2007-01-18,26.2134,
2007-01-19,26.0928,
2007-01-22,26.1735,
2007-01-23,25.9444,
2007-01-24,26.0957,
2007-01-25,26.4626,
2007-01-29,26.3131,
2007-01-31,26.0460,
2007-02-01,26.4004,
2007-02-02,26.6938,
2007-02-05,26.8944,
2007-02-06,26.7734,
2007-02-07,26.9486,
2007-02-08,26.9428,
2007-02-09,26.7155,
2007-02-12,25.9510,
2007-02-13,25.8672,
2007-02-14,25.8846,
2007-02-15,26.5128,
2007-02-19,26.6298,
2007-02-20,26.2633,
2007-02-21,26.1962,
2007-02-22,25.8384,
2007-02-23,25.1953,
2007-02-26,25.2109,
2007-02-27,24.9046,
2007-02-28,23.9602,
2007-03-01,24.3782,
2007-03-02,23.8411,
2007-03-05,22.8852,
2007-03-06,23.3865,
2007-03-07,23.2021,
2007-03-08,24.0480,
2007-03-09,23.7751,
2007-03-12,23.8788,
2007-03-13,24.1053,
2007-03-14,23.2973,
2007-03-15,23.3154,
2007-03-16,23.0969,
2007-03-19,23.5423,
2007-03-20,23.6607,
2007-03-21,24.1082,
2007-03-22,24.8177,
2007-03-23,24.7255,
2007-03-26,24.4719,
2007-03-28,24.1003,
2007-03-29,24.3358,
2007-03-30,24.4843,
2007-04-02,23.2865,
2007-04-03,23.6353,
2007-04-04,23.9065,
2007-04-05,24.0249,
2007-04-09,24.6027,
2007-04-10,24.6320,
2007-04-11,24.7235,
2007-04-12,24.5146,
2007-04-13,25.0828,
2007-04-16,25.6904,
2007-04-17,25.5063,
2007-04-18,25.6733,
2007-04-19,25.5857,
2007-04-20,26.1344,
2007-04-23,26.1772,
